office_2_00000 0 1 2 0.08706629985461284 0.04900402767625862
office_2_00000 0 1 3 0.08706629985461284 0.08824874383006663
office_2_00000 0 1 4 0.08706629985461284 -0.1280816936211285
office_2_00001 0 1 2 0.08706629985461284 0.04900402767625862
office_2_00001 0 1 3 0.08706629985461284 0.08824874383006663
office_2_00001 0 1 4 0.08706629985461284 -0.1280816936211285
office_2_00002 0 1 2 0.08706629985461284 0.04900402767625862
office_2_00002 0 1 3 0.08706629985461284 0.08824874383006663
office_2_00002 0 1 4 0.08706629985461284 -0.1280816936211285
office_2_00003 0 1 2 0.08706629985461284 0.04900402767625862
office_2_00003 0 1 3 0.08706629985461284 0.08824874383006663
office_2_00003 0 1 4 0.08706629985461284 -0.1280816936211285
office_2_00004 0 1 2 0.08706629985461284 0.04900402767625862
office_2_00004 0 1 3 0.08706629985461284 0.08824874383006663
office_2_00004 0 1 4 0.08706629985461284 -0.1280816936211285
office_2_00005 0 1 2 0.08706629985461284 0.04900402767625862
office_2_00005 0 1 3 0.08706629985461284 0.08824874383006663
office_2_00005 0 1 4 0.08706629985461284 -0.1280816936211285
office_2_00010 0 1 2 0.09951746367377423 0.09549354851640361
office_2_00010 0 1 3 0.09951746367377423 0.12099197763095758
office_2_00010 0 1 4 0.09951746367377423 -0.1187286803305858
office_2_00011 0 1 2 0.09951746367377423 0.09549354851640361
office_2_00011 0 1 3 0.09951746367377423 0.12099197763095758
office_2_00011 0 1 4 0.09951746367377423 -0.1187286803305858
office_2_00012 0 1 2 0.09951746367377423 0.09549354851640361
office_2_00012 0 1 3 0.09951746367377423 0.12099197763095758
office_2_00012 0 1 4 0.09951746367377423 -0.1187286803305858
office_2_00013 0 1 2 0.09951746367377423 0.09549354851640361
office_2_00013 0 1 3 0.09951746367377423 0.12099197763095758
office_2_00013 0 1 4 0.09951746367377423 -0.1187286803305858
office_2_00014 0 1 2 0.09951746367377423 0.09549354851640361
office_2_00014 0 1 3 0.09951746367377423 0.12099197763095758
office_2_00014 0 1 4 0.09951746367377423 -0.1187286803305858
office_2_00015 0 1 2 0.09951746367377423 0.09549354851640361
office_2_00015 0 1 3 0.09951746367377423 0.12099197763095758
office_2_00015 0 1 4 0.09951746367377423 -0.1187286803305858
office_2_00020 0 1 2 0.07591110340274365 0.059640910180093265
office_2_00020 0 1 3 0.07591110340274365 0.11866996188147372
office_2_00020 0 1 4 0.07591110340274365 -0.16143189625920018
office_2_00021 0 1 2 0.07591110340274365 0.059640910180093265
office_2_00021 0 1 3 0.07591110340274365 0.11866996188147372
office_2_00021 0 1 4 0.07591110340274365 -0.16143189625920018
office_2_00022 0 1 2 0.07591110340274365 0.059640910180093265
office_2_00022 0 1 3 0.07591110340274365 0.11866996188147372
office_2_00022 0 1 4 0.07591110340274365 -0.16143189625920018
office_2_00023 0 1 2 0.07591110340274365 0.059640910180093265
office_2_00023 0 1 3 0.07591110340274365 0.11866996188147372
office_2_00023 0 1 4 0.07591110340274365 -0.16143189625920018
office_2_00024 0 1 2 0.07591110340274365 0.059640910180093265
office_2_00024 0 1 3 0.07591110340274365 0.11866996188147372
office_2_00024 0 1 4 0.07591110340274365 -0.16143189625920018
office_2_00025 0 1 2 0.07591110340274365 0.059640910180093265
office_2_00025 0 1 3 0.07591110340274365 0.11866996188147372
office_2_00025 0 1 4 0.07591110340274365 -0.16143189625920018
office_2_00030 0 1 2 0.06332836444072394 0.05283558006986576
office_2_00030 0 1 3 0.06332836444072394 0.14293233332761668
office_2_00030 0 1 4 0.06332836444072394 -0.14394470016274163
office_2_00031 0 1 2 0.06332836444072394 0.05283558006986576
office_2_00031 0 1 3 0.06332836444072394 0.14293233332761668
office_2_00031 0 1 4 0.06332836444072394 -0.14394470016274163
office_2_00032 0 1 2 0.06332836444072394 0.05283558006986576
office_2_00032 0 1 3 0.06332836444072394 0.14293233332761668
office_2_00032 0 1 4 0.06332836444072394 -0.14394470016274163
office_2_00033 0 1 2 0.06332836444072394 0.05283558006986576
office_2_00033 0 1 3 0.06332836444072394 0.14293233332761668
office_2_00033 0 1 4 0.06332836444072394 -0.14394470016274163
office_2_00034 0 1 2 0.06332836444072394 0.05283558006986576
office_2_00034 0 1 3 0.06332836444072394 0.14293233332761668
office_2_00034 0 1 4 0.06332836444072394 -0.14394470016274163
office_2_00035 0 1 2 0.06332836444072394 0.05283558006986576
office_2_00035 0 1 3 0.06332836444072394 0.14293233332761668
office_2_00035 0 1 4 0.06332836444072394 -0.14394470016274163
office_2_00040 0 1 2 0.033868428947094076 0.020542942845633117
office_2_00040 0 1 3 0.033868428947094076 0.14315899553758016
office_2_00040 0 1 4 0.033868428947094076 -0.10545517741183733
office_2_00041 0 1 2 0.033868428947094076 0.020542942845633117
office_2_00041 0 1 3 0.033868428947094076 0.14315899553758016
office_2_00041 0 1 4 0.033868428947094076 -0.10545517741183733
office_2_00042 0 1 2 0.033868428947094076 0.020542942845633117
office_2_00042 0 1 3 0.033868428947094076 0.14315899553758016
office_2_00042 0 1 4 0.033868428947094076 -0.10545517741183733
office_2_00043 0 1 2 0.033868428947094076 0.020542942845633117
office_2_00043 0 1 3 0.033868428947094076 0.14315899553758016
office_2_00043 0 1 4 0.033868428947094076 -0.10545517741183733
office_2_00044 0 1 2 0.033868428947094076 0.020542942845633117
office_2_00044 0 1 3 0.033868428947094076 0.14315899553758016
office_2_00044 0 1 4 0.033868428947094076 -0.10545517741183733
office_2_00045 0 1 2 0.033868428947094076 0.020542942845633117
office_2_00045 0 1 3 0.033868428947094076 0.14315899553758016
office_2_00045 0 1 4 0.033868428947094076 -0.10545517741183733
office_2_00050 0 1 2 0.08398083031425291 0.026364984720307877
office_2_00050 0 1 3 0.08398083031425291 0.11950067166828401
office_2_00050 0 1 4 0.08398083031425291 -0.15497315296282557
office_2_00051 0 1 2 0.08398083031425291 0.026364984720307877
office_2_00051 0 1 3 0.08398083031425291 0.11950067166828401
office_2_00051 0 1 4 0.08398083031425291 -0.15497315296282557
office_2_00052 0 1 2 0.08398083031425291 0.026364984720307877
office_2_00052 0 1 3 0.08398083031425291 0.11950067166828401
office_2_00052 0 1 4 0.08398083031425291 -0.15497315296282557
office_2_00053 0 1 2 0.08398083031425291 0.026364984720307877
office_2_00053 0 1 3 0.08398083031425291 0.11950067166828401
office_2_00053 0 1 4 0.08398083031425291 -0.15497315296282557
office_2_00054 0 1 2 0.08398083031425291 0.026364984720307877
office_2_00054 0 1 3 0.08398083031425291 0.11950067166828401
office_2_00054 0 1 4 0.08398083031425291 -0.15497315296282557
office_2_00055 0 1 2 0.08398083031425291 0.026364984720307877
office_2_00055 0 1 3 0.08398083031425291 0.11950067166828401
office_2_00055 0 1 4 0.08398083031425291 -0.15497315296282557
office_2_00060 0 1 2 0.10863061037749626 0.05765804571224353
office_2_00060 0 1 3 0.10863061037749626 0.1287329153236058
office_2_00060 0 1 4 0.10863061037749626 -0.1368400532932025
office_2_00061 0 1 2 0.10863061037749626 0.05765804571224353
office_2_00061 0 1 3 0.10863061037749626 0.1287329153236058
office_2_00061 0 1 4 0.10863061037749626 -0.1368400532932025
office_2_00062 0 1 2 0.10863061037749626 0.05765804571224353
office_2_00062 0 1 3 0.10863061037749626 0.1287329153236058
office_2_00062 0 1 4 0.10863061037749626 -0.1368400532932025
office_2_00063 0 1 2 0.10863061037749626 0.05765804571224353
office_2_00063 0 1 3 0.10863061037749626 0.1287329153236058
office_2_00063 0 1 4 0.10863061037749626 -0.1368400532932025
office_2_00064 0 1 2 0.10863061037749626 0.05765804571224353
office_2_00064 0 1 3 0.10863061037749626 0.1287329153236058
office_2_00064 0 1 4 0.10863061037749626 -0.1368400532932025
office_2_00065 0 1 2 0.10863061037749626 0.05765804571224353
office_2_00065 0 1 3 0.10863061037749626 0.1287329153236058
office_2_00065 0 1 4 0.10863061037749626 -0.1368400532932025
office_2_00070 0 1 2 0.03909039581508186 0.030420504669411604
office_2_00070 0 1 3 0.03909039581508186 0.15940880140641017
office_2_00070 0 1 4 0.03909039581508186 -0.11846403261669637
office_2_00071 0 1 2 0.03909039581508186 0.030420504669411604
office_2_00071 0 1 3 0.03909039581508186 0.15940880140641017
office_2_00071 0 1 4 0.03909039581508186 -0.11846403261669637
office_2_00072 0 1 2 0.03909039581508186 0.030420504669411604
office_2_00072 0 1 3 0.03909039581508186 0.15940880140641017
office_2_00072 0 1 4 0.03909039581508186 -0.11846403261669637
office_2_00073 0 1 2 0.03909039581508186 0.030420504669411604
office_2_00073 0 1 3 0.03909039581508186 0.15940880140641017
office_2_00073 0 1 4 0.03909039581508186 -0.11846403261669637
office_2_00074 0 1 2 0.03909039581508186 0.030420504669411604
office_2_00074 0 1 3 0.03909039581508186 0.15940880140641017
office_2_00074 0 1 4 0.03909039581508186 -0.11846403261669637
office_2_00075 0 1 2 0.03909039581508186 0.030420504669411604
office_2_00075 0 1 3 0.03909039581508186 0.15940880140641017
office_2_00075 0 1 4 0.03909039581508186 -0.11846403261669637
office_2_00080 0 1 2 0.08851744897029393 0.08764556601959307
office_2_00080 0 1 3 0.08851744897029393 0.13292515183731135
office_2_00080 0 1 4 0.08851744897029393 -0.17933055457003677
office_2_00081 0 1 2 0.08851744897029393 0.08764556601959307
office_2_00081 0 1 3 0.08851744897029393 0.13292515183731135
office_2_00081 0 1 4 0.08851744897029393 -0.17933055457003677
office_2_00082 0 1 2 0.08851744897029393 0.08764556601959307
office_2_00082 0 1 3 0.08851744897029393 0.13292515183731135
office_2_00082 0 1 4 0.08851744897029393 -0.17933055457003677
office_2_00083 0 1 2 0.08851744897029393 0.08764556601959307
office_2_00083 0 1 3 0.08851744897029393 0.13292515183731135
office_2_00083 0 1 4 0.08851744897029393 -0.17933055457003677
office_2_00084 0 1 2 0.08851744897029393 0.08764556601959307
